Day,Start Time,End Time,Area,Floor,Prediction,Level,Predicted Max,Low Minutes,Medium Minutes,High Minutes,15min Predicted Counts
Monday,08:00,08:14,Amphitheatre,F1,High,High,53,0,12,3,"[50, 51, 53, 53, 50, 46, 43, 40, 39, 39, 42, 37, 37, 50, 48]"
Monday,08:00,08:14,A Entrance,F1,Low,Low,30,14,1,0,"[25, 26, 28, 29, 29, 24, 23, 28, 28, 28, 26, 27, 27, 30, 29]"
Monday,08:00,08:14,A,F1,Low,Low,27,15,0,0,"[25, 26, 27, 26, 25, 23, 24, 22, 23, 22, 27, 25, 27, 25, 26]"
Monday,08:00,08:14,AB Walkway,F1,High,High,51,0,13,2,"[46, 44, 49, 49, 49, 51, 51, 41, 41, 41, 39, 38, 50, 46, 46]"
Monday,08:00,08:14,B,F1,Medium,Medium,50,0,15,0,"[45, 45, 41, 41, 39, 40, 38, 39, 42, 36, 36, 37, 40, 48, 50]"
Monday,08:00,08:14,BC Walkway,F1,High,High,54,0,10,5,"[47, 40, 43, 44, 46, 43, 50, 51, 49, 54, 51, 48, 47, 51, 53]"
Monday,08:00,08:14,C,F1,High,High,54,0,11,4,"[40, 54, 42, 44, 49, 52, 50, 52, 52, 48, 48, 44, 44, 43, 42]"
Monday,08:00,08:14,CD Walkway,F1,Low,Low,28,15,0,0,"[26, 25, 26, 26, 25, 26, 24, 24, 26, 23, 28, 19, 19, 21, 24]"
Monday,08:00,08:14,D,F1,Low,Low,31,12,3,0,"[29, 30, 26, 24, 28, 28, 29, 30, 31, 25, 22, 22, 23, 24, 25]"
Monday,08:00,08:14,DE Walkway,F1,Low,Low,29,15,0,0,"[26, 29, 25, 25, 23, 22, 23, 20, 20, 20, 23, 24, 26, 26, 28]"
Monday,08:00,08:14,E,F1,Low,Low,29,15,0,0,"[24, 22, 22, 20, 20, 28, 29, 27, 24, 22, 25, 24, 24, 24, 25]"
Monday,08:00,08:14,A Corridor,F2,Low,Low,30,14,1,0,"[26, 25, 23, 27, 28, 29, 29, 24, 19, 26, 25, 26, 29, 30, 29]"
Monday,08:00,08:14,"B (LT21,22)",F2,Low,Low,30,14,1,0,"[28, 23, 23, 24, 27, 24, 27, 27, 26, 27, 23, 26, 26, 30, 29]"
Monday,08:00,08:14,BC Walkway,F2,Medium,Medium,49,0,15,0,"[45, 49, 43, 44, 44, 48, 49, 43, 43, 40, 42, 46, 48, 45, 45]"
Monday,08:00,08:14,C,F2,Low,Low,28,15,0,0,"[25, 24, 26, 26, 25, 24, 28, 28, 25, 24, 23, 24, 22, 26, 26]"
Monday,08:00,08:14,CD Walkway,F2,Low,Low,30,14,1,0,"[27, 28, 27, 26, 30, 27, 24, 23, 22, 25, 25, 23, 25, 24, 23]"
Monday,08:00,08:14,D,F2,Medium,Medium,50,0,15,0,"[42, 41, 42, 50, 44, 39, 38, 42, 44, 40, 41, 38, 43, 41, 41]"
Monday,08:00,08:14,DE Walkway,F2,High,High,55,0,10,5,"[44, 49, 52, 54, 54, 48, 55, 53, 50, 45, 43, 43, 48, 46, 45]"
Monday,08:00,08:14,E,F2,Low,Low,16,15,0,0,"[15, 15, 15, 15, 16, 14, 15, 15, 15, 15, 15, 16, 12, 11, 13]"
